Lemma,CEFR,POS,Frq abs,Frq ipm
равный,B1,adj,45029,284.27
против,B1,adv,45009,284.15
идея,B1,n,44690,282.13
особенно,B1,adv,44523,281.08
наконец,B1,adv,43933,277.35
среди,B1,adpos,43845,276.80
движение,B1,n,42839,270.45
огромный,B1,adj,42579,268.81
великий,B1,adj,42446,267.97
количество,B1,n,42332,267.25
смерть,B1,n,41834,264.10
бывать,B1,v,41032,259.04
порядок,B1,n,40471,255.50
век,B1,n,39418,248.85
военный,B1,n,39069,246.65
политический,B1,adj,38669,244.12
представлять,B1,v,38597,243.67
опыт,B1,n,38021,240.03
тип,B1,n,38008,239.95
интерес,B1,n,37357,235.84
из-за,B1,adpos,36955,233.30
живой,B1,adj,36157,228.26
необходимый,B1,adj,36053,227.61
материал,B1,n,35946,226.93
армия,B1,n,35162,221.98
бояться,B1,v,35082,221.48
социальный,B1,adj,34742,219.33
большинство,B1,n,34686,218.98
бизнес,B1,n,34627,218.60
принимать,B1,v,34115,215.37
целый,B1,adj,33967,214.44
разговор,B1,n,33426,211.02
способ,B1,n,33109,209.02
течение,B1,n,33005,208.36
вокруг,B1,adv,32877,207.56
ряд,B1,n,32731,206.64
партия,B1,n,32252,203.61
период,B1,n,31927,201.56
пара,B1,n,31832,200.96
значение,B1,n,31462,198.62
внутренний,B1,adj,31349,197.91
изменение,B1,n,30828,194.62
политика,B1,n,30706,193.85
экономический,B1,adj,29823,188.28
знакомый,B1,adj,29797,188.11
человеческий,B1,adj,29790,188.07
остальной,B1,pron,29196,184.32
рост,B1,n,28742,181.45
население,B1,n,28377,179.15
кровь,B1,n,28313,178.74
зрение,B1,n,28236,178.26
знание,B1,n,27782,175.39
какой-то,B1,pron,27661,174.63
необходимо,B1,adv,27555,173.96
во время,B1,prep,27404,173.01
участие,B1,n,27298,172.34
как-то,B1,adv,27109,171.14
память,B1,n,26916,169.92
борьба,B1,n,26734,168.78
личный,B1,adj,26724,168.71
плечо,B1,n,26490,167.23
национальный,B1,adj,26436,166.89
позиция,B1,n,26332,166.24
стараться,B1,v,26312,166.11
герой,B1,n,26305,166.07
участник,B1,n,25584,161.52
свободный,B1,adj,25582,161.50
судьба,B1,n,25476,160.83
товар,B1,n,25411,160.42
надеяться,B1,v,25370,160.16
международный,B1,adj,25350,160.04
директор,B1,n,25233,159.30
поздний,B1,adj,25096,158.43
кто-то,B1,pron,24896,157.17
фирма,B1,n,24746,156.22
товарищ,B1,n,24721,156.07
источник,B1,n,24389,153.97
вместо,B1,adpos,24362,153.80
всего,B1,particle,24260,153.16
операция,B1,n,24215,152.87
оценка,B1,n,24133,152.35
постоянно,B1,adv,24048,151.82
специалист,B1,n,24018,151.63
главное,B1,n,23962,151.28
гора,B1,n,23759,149.99
мировой,B1,adj,23726,149.79
научный,B1,adj,23710,149.68
корабль,B1,n,23629,149.17
берег,B1,n,23586,148.90
пользоваться,B1,v,23080,145.71
начальник,B1,n,23014,145.29
странный,B1,ADJ,22997,145.18
церковь,B1,n,22879,144.44
линия,B1,n,22514,142.13
выглядеть,B1,v,22357,141.14
иметься,B1,v,22347,141.08
поиск,B1,n,22181,140.03
высший,B1,adj,22175,139.99
пространство,B1,N,22076,139.37
экономика,B1,n,22022,139.03
поведение,B1,n,21917,138.36
оружие,B1,n,21816,137.73
страх,B1,n,21747,137.29
страшный,B1,adj,21416,135.20
ожидать,B1,v,21401,135.11
хозяин,B1,n,21401,135.11
надежда,B1,n,21386,135.01
солдат,B1,n,21376,134.95
единый,B1,adj,21328,134.65
клиент,B1,n,21156,133.56
удар,B1,n,21154,133.55
глядеть,B1,v,20853,131.65
в течение,B1,mwe,20700,130.68
вера,B1,n,20586,129.96
отсутствие,B1,n,20515,129.51
прямой,B1,adj,20487,129.34
процент,B1,n,20450,129.10
здание,B1,n,20381,128.67
открытый,B1,adj,20093,126.85
возвращаться,B1,v,20059,126.64
энергия,B1,n,20044,126.54
вывод,B1,n,20042,126.53
договор,B1,n,20012,126.34
зависеть,B1,v,19960,126.01
западный,B1,adj,19905,125.66
безопасность,B1,n,19821,125.13
способность,B1,n,19643,124.01
удовольствие,B1,n,19619,123.86
чужой,B1,adj,19458,122.84
ощущение,B1,n,19447,122.77
никак,B1,adv,19411,122.54
создавать,B1,v,19309,121.90
влияние,B1,n,19270,121.65
уверенный,B1,adj,19270,121.65
грудь,B1,n,19255,121.56
контроль,B1,n,19213,121.29
двор,B1,n,19171,121.03
одновременно,B1,adv,19151,120.90
пункт,B1,N,19143,120.85
радость,B1,n,19127,120.75
практика,B1,n,19047,120.25
содержание,B1,n,18945,119.60
в том числе,B1,mwe,18912,119.39
хватать,B1,v,18824,118.84
стоимость,B1,n,18686,117.97
звать,B1,v,18654,117.77
старик,B1,n,18493,116.75
постоянный,B1,adj,18383,116.05
командир,B1,n,18323,115.68
житель,B1,n,18277,115.39
сумма,B1,n,18227,115.07
сцена,B1,n,18188,114.82
благодаря,B1,adpos,17738,111.98
глубокий,B1,adj,17551,110.80
принадлежать,B1,v,17503,110.50
с помощью,B1,mwe,17181,108.47
где-то,B1,adv,17123,108.10
произведение,B1,n,17112,108.03
деревня,B1,n,17093,107.91
обращаться,B1,v,16855,106.41
губа,B1,n,16710,105.49
пустой,B1,adj,16668,105.23
центральный,B1,adj,16608,104.85
профессиональный,B1,adj,16605,104.83
федеральный,B1,adj,16564,104.57
технический,B1,adj,16545,104.45
ближайший,B1,adj,16497,104.15
выступать,B1,v,16427,103.71
родной,B1,adj,16393,103.49
решать,B1,V,16369,103.34
напоминать,B1,v,16295,102.87
ответственность,B1,n,16293,102.86
народный,B1,adj,16278,102.77
поэт,B1,n,16228,102.45
король,B1,n,16169,102.08
художник,B1,n,16009,101.07
пользователь,B1,n,15954,100.72
двигаться,B1,v,15904,100.40
будущий,B1,adj,15715,99.21
ясный,B1,adj,15545,98.14
участвовать,B1,v,15455,97.57
канал,B1,n,15409,97.28
северный,B1,adj,15377,97.08
что-нибудь,B1,pron,15360,96.97
кабинет,B1,n,15352,96.92
вспоминать,B1,v,15337,96.82
форум,B1,n,15334,96.81
лично,B1,adv,15311,96.66
журналист,B1,n,15250,96.28
комиссия,B1,n,15143,95.60
древний,B1,adj,15037,94.93
традиция,B1,n,14972,94.52
председатель,B1,n,14870,93.88
мастер,B1,n,14617,92.28
карман,B1,n,14610,92.23
сотня,B1,n,14569,91.98
десяток,B1,n,14559,91.91
обещать,B1,v,14513,91.62
строительство,B1,n,14462,91.30
общение,B1,n,14271,90.09
отличие,B1,n,14213,89.73
мелкий,B1,adj,14178,89.51
состояться,B1,v,14099,89.01
постепенно,B1,adv,14006,88.42
планета,B1,n,13968,88.18
хозяйство,B1,n,13858,87.49
организм,B1,n,13801,87.13
заявление,B1,n,13784,87.02
мозг,B1,n,13722,86.63
тень,B1,n,13556,85.58
испытывать,B1,v,13552,85.56
сегодняшний,B1,adj,13514,85.32
получение,B1,n,13497,85.21
инструмент,B1,n,13360,84.34
лидер,B1,n,13350,84.28
фигура,B1,n,13340,84.22
лагерь,B1,n,13333,84.17
оставлять,B1,v,13310,84.03
раздел,B1,n,13307,84.01
милый,B1,adj,13247,83.63
секс,B1,n,13111,82.77
колено,B1,n,13069,82.51
коллега,B1,n,13067,82.49
еврей,B1,n,13015,82.17
признак,B1,n,12943,81.71
требоваться,B1,v,12933,81.65
потребность,B1,n,12922,81.58
заходить,B1,v,12859,81.18
депутат,B1,n,12779,80.68
глубина,B1,n,12661,79.93
администрация,B1,n,12637,79.78
торговый,B1,adj,12610,79.61
описание,B1,n,12606,79.58
партнер,B1,n,12510,78.98
разница,B1,n,12473,78.74
черта,B1,n,12449,78.59
красота,B1,n,12443,78.55
суметь,B1,v,12407,78.33
точный,B1,adj,12384,78.18
трубка,B1,n,12327,77.82
восточный,B1,adj,12292,77.60
знаменитый,B1,adj,12279,77.52
открытие,B1,n,12264,77.42
присутствовать,B1,V,12092,76.34
неожиданно,B1,adv,12044,76.04
налог,B1,n,12027,75.93
культурный,B1,adj,11964,75.53
предыдущий,B1,adj,11947,75.42
мертвый,B1,adj,11938,75.37
ранний,B1,adj,11896,75.10
замечать,B1,v,11889,75.06
торговля,B1,n,11852,74.82
камера,B1,n,11849,74.80
тайна,B1,n,11845,74.78
уважение,B1,n,11744,74.14
творческий,B1,adj,11724,74.02
воспоминание,B1,n,11620,73.36
человечество,B1,n,11583,73.13
недостаток,B1,n,11551,72.92
заранее,B1,adv,11544,72.88
держаться,B1,v,11542,72.87
разрешение,B1,n,11477,72.46
спасти,B1,v,11471,72.42
мощный,B1,adj,11466,72.39
эффективный,B1,adj,11442,72.23
производить,B1,v,11436,72.20
изучение,B1,n,11432,72.17
южный,B1,adj,11360,71.72
печать,B1,n,11324,71.49
повышение,B1,n,11282,71.22
продолжаться,B1,v,11252,71.04
творчество,B1,n,11186,70.62
художественный,B1,adj,11182,70.59
сутки,B1,n,11172,70.53
доступ,B1,n,11107,70.12
брак,B1,n,11103,70.09
мероприятие,B1,n,11092,70.03
обсуждение,B1,n,11088,70.00
бороться,B1,v,11076,69.92
обязанность,B1,n,10973,69.27
сообщать,B1,v,10932,69.02
немедленно,B1,adv,10911,68.88
указывать,B1,v,10868,68.61
лечение,B1,n,10842,68.45
замок,B1,n,10826,68.35
обстановка,B1,n,10747,67.85
шум,B1,n,10719,67.67
спокойный,B1,adj,10714,67.64
шея,B1,n,10639,67.17
игрок,B1,n,10531,66.48
готовиться,B1,v,10527,66.46
лодка,B1,n,10505,66.32
собирать,B1,v,10495,66.26
убийство,B1,n,10441,65.92
достоинство,B1,n,10385,65.56
серия,B1,N,10376,65.51
основное,B1,n,10342,65.29
кадр,B1,n,10340,65.28
выступление,B1,n,10316,65.13
ожидание,B1,n,10277,64.88
изучать,B1,v,10262,64.79
ценный,B1,adj,10197,64.38
страдать,B1,v,10182,64.28
острый,B1,adj,10175,64.24
слух,B1,n,10131,63.96
увеличение,B1,n,10073,63.59
удивительный,B1,adj,10072,63.59
родственник,B1,n,10014,63.22
только что,B1,mwe,9995,63.10
охрана,B1,n,9930,62.69
обсуждать,B1,v,9911,62.57
специально,B1,adv,9874,62.34
ладонь,B1,n,9790,61.81
жесткий,B1,adj,9785,61.77
дальний,B1,adj,9781,61.75
передавать,B1,v,9766,61.65
мечта,B1,n,9751,61.56
питание,B1,n,9738,61.48
файл,B1,n,9716,61.34
интересовать,B1,v,9707,61.28
общаться,B1,v,9643,60.88
ужасный,B1,adj,9625,60.76
заказ,B1,n,9604,60.63
крыло,B1,n,9579,60.47
когда-то,B1,adv,9578,60.47
дума,B1,n,9571,60.42
спешить,B1,v,9516,60.08
спор,B1,n,9515,60.07
озеро,B1,n,9503,59.99
дикий,B1,adj,9496,59.95
дно,B1,n,9482,59.86
сми,B1,abbr,9441,59.60
темнота,B1,n,9358,59.08
минимум,B1,n,9348,59.02
агентство,B1,n,9327,58.88
интервью,B1,n,9327,58.88
сходить,B1,v,9321,58.84
крепкий,B1,adj,9320,58.84
воспитание,B1,n,9291,58.66
христос,B1,n prop,9290,58.65
присутствие,B1,n,9263,58.48
молодежь,B1,n,9231,58.28
доклад,B1,n,9220,58.21
сексуальный,B1,adj,9171,57.90
неизвестный,B1,adj,9167,57.87
положительный,B1,adj,9135,57.67
в связи,B1,mwe,9076,57.30
независимый,B1,adj,9015,56.91
солнечный,B1,adj,9008,56.87
трудность,B1,n,9000,56.82
дурак,B1,n,8992,56.77
сотрудничество,B1,n,8973,56.65
площадка,B1,n,8972,56.64
конь,B1,n,8963,56.58
единица,B1,n,8960,56.57
классический,B1,adj,8947,56.48
как будто,B1,mwe,8940,56.44
сомневаться,B1,v,8904,56.21
злой,B1,adj,8847,55.85
пациент,B1,n,8796,55.53
денежный,B1,adj,8795,55.52
редкий,B1,adj,8776,55.40
юридический,B1,adj,8774,55.39
лоб,B1,n,8742,55.19
дворец,B1,n,8731,55.12
промышленность,B1,n,8718,55.04
обмен,B1,n,8706,54.96
жаль,B1,adv,8704,54.95
широко,B1,adv,8683,54.82
стрелять,B1,v,8640,54.55
убивать,B1,v,8634,54.51
популярный,B1,adj,8593,54.25
лечь,B1,v,8543,53.93
управлять,B1,v,8525,53.82
академия,B1,n,8521,53.79
корень,B1,n,8490,53.60
возвращение,B1,n,8478,53.52
коммерческий,B1,adj,8456,53.38
заболевание,B1,n,8435,53.25
повезти,B1,v,8402,53.04
ой,B1,int,8369,52.83
слушатель,B1,n,8355,52.75
пауза,B1,n,8349,52.71
кредит,B1,n,8333,52.61
пьяный,B1,adj,8331,52.59
уверенность,B1,n,8316,52.50
различие,B1,n,8281,52.28
отмечать,B1,v,8276,52.25
напряжение,B1,n,8205,51.80
крестьянин,B1,n,8188,51.69
отказываться,B1,v,8182,51.65
поймать,B1,v,8172,51.59
вершина,B1,n,8168,51.57
секрет,B1,n,8152,51.46
портрет,B1,n,8052,50.83
объединение,B1,n,8023,50.65
эмоция,B1,n,7971,50.32
применять,B1,v,7968,50.30
рекламный,B1,adj,7925,50.03
менеджер,B1,n,7871,49.69
удивление,B1,n,7864,49.65
надпись,B1,n,7842,49.51
природный,B1,adj,7774,49.08
поход,B1,n,7746,48.90
какой-нибудь,B1,pron,7739,48.86
атмосфера,B1,n,7717,48.72
поступок,B1,n,7714,48.70
телевидение,B1,n,7687,48.53
активно,B1,adv,7677,48.47
инженер,B1,n,7675,48.45
знакомство,B1,n,7658,48.35
режиссер,B1,n,7656,48.33
остаток,B1,n,7623,48.13
к сожалению,B1,adv,7615,48.07
налоговый,B1,adj,7569,47.78
отсутствовать,B1,v,7545,47.63
умение,B1,n,7505,47.38
губернатор,B1,n,7486,47.26
ремонт,B1,n,7474,47.18
терпеть,B1,V,7465,47.13
наступать,B1,v,7435,46.94
выражать,B1,v,7424,46.87
оплата,B1,n,7420,46.84
радоваться,B1,v,7417,46.82
танец,B1,n,7417,46.82
щека,B1,n,7398,46.70
коробка,B1,n,7380,46.59
согласие,B1,n,7374,46.55
приятель,B1,n,7347,46.38
вуз,B1,abbr,7330,46.28
таблица,B1,n,7300,46.09
юный,B1,adj,7294,46.05
удача,B1,n,7275,45.93
сбор,B1,n,7259,45.83
мирный,B1,adj,7252,45.78
неожиданный,B1,adj,7235,45.68
планировать,B1,v,7210,45.52
талант,B1,n,7206,45.49
дискуссия,B1,n,7189,45.39
сочинение,B1,n,7162,45.21
выдавать,B1,v,7149,45.13
сложность,B1,n,7104,44.85
мешок,B1,n,7103,44.84
трудовой,B1,adj,7095,44.79
описывать,B1,v,7064,44.60
достаточный,B1,adj,7057,44.55
психология,B1,n,7049,44.50
контролировать,B1,v,7034,44.41
помощник,B1,n,7032,44.39
кость,B1,n,7002,44.20
спектакль,B1,n,6983,44.08
краска,B1,n,6977,44.05
темп,B1,n,6938,43.80
анекдот,B1,n,6909,43.62
маршрут,B1,n,6901,43.57
пыль,B1,n,6898,43.55
растение,B1,n,6877,43.42
демократический,B1,adj,6874,43.40
банка,B1,n,6847,43.23
ровно,B1,adv,6838,43.17
нежный,B1,adj,6802,42.94
адвокат,B1,n,6775,42.77
опытный,B1,adj,6772,42.75
бомба,B1,n,6749,42.61
башня,B1,n,6742,42.56
навстречу,B1,adv,6741,42.56
социально,B1,adv,6730,42.49
навык,B1,n,6724,42.45
хозяйка,B1,n,6718,42.41
богатство,B1,n,6709,42.35
сохранять,B1,v,6694,42.26
проживать,B1,v,6639,41.91
самостоятельно,B1,adv,6638,41.91
контракт,B1,n,6627,41.84
пахнуть,B1,v,6625,41.82
свадьба,B1,n,6619,41.79
туман,B1,n,6609,41.72
качественный,B1,adj,6584,41.57
молчание,B1,n,6541,41.29
особенный,B1,adj,6528,41.21
конституция,B1,n,6520,41.16
подавать,B1,v,6501,41.04
беременность,B1,n,6485,40.94
хранить,B1,v,6483,40.93
игрушка,B1,n,6470,40.85
сезон,B1,n,6435,40.63
физика,B1,n,6409,40.46
жест,B1,n,6403,40.42
кто-нибудь,B1,pron,6396,40.38
активность,B1,n,6327,39.94
горный,B1,adj,6325,39.93
одинокий,B1,adj,6281,39.65
замечание,B1,n,6280,39.65
карьера,B1,n,6279,39.64
политик,B1,n,6273,39.60
вооруженный,B1,adj,6263,39.54
записка,B1,n,6263,39.54
справедливость,B1,N,6261,39.53
дача,B1,n,6225,39.30
гарантия,B1,n,6209,39.20
партийный,B1,adj,6195,39.11
скорый,B1,adj,6194,39.10
горький,B1,adj,6183,39.03
воевать,B1,v,6165,38.92
подъезд,B1,n,6158,38.88
скромный,B1,adj,6149,38.82
пятно,B1,n,6144,38.79
разнообразный,B1,adj,6105,38.54
факультет,B1,n,6091,38.45
куст,B1,n,6089,38.44
стихотворение,B1,n,6083,38.40
интересоваться,B1,v,6078,38.37
удивляться,B1,v,6062,38.27
ответственный,B1,adj,6022,38.02
важнейший,B1,adj,5996,37.85
палатка,B1,n,5994,37.84
салон,B1,n,5992,37.83
победитель,B1,n,5952,37.58
жаловаться,B1,v,5925,37.41
вечерний,B1,adj,5909,37.30
контекст,B1,n,5907,37.29
когда-нибудь,B1,adv,5887,37.17
отрицательный,B1,adj,5853,36.95
жалеть,B1,v,5842,36.88
искусственный,B1,adj,5833,36.82
христианский,B1,adj,5814,36.70
лесной,B1,adj,5799,36.61
почитать,B1,v,5759,36.36
парламент,B1,n,5726,36.15
эмоциональный,B1,adj,5710,36.05
городок,B1,n,5705,36.02
бар,B1,n,5692,35.93
неизвестно,B1,adv,5688,35.91
пенсия,B1,n,5656,35.71
рисовать,B1,v,5635,35.57
здорово,B1,excl,5614,35.44
волноваться,B1,v,5601,35.36
пьеса,B1,n,5591,35.30
десятилетие,B1,n,5590,35.29
блестящий,B1,adj,5586,35.27
известие,B1,n,5581,35.23
печальный,B1,adj,5581,35.23
улучшение,B1,n,5573,35.18
зарабатывать,B1,v,5563,35.12
королева,B1,n,5552,35.05
заинтересовать,B1,v,5550,35.04
старуха,B1,n,5543,34.99
вначале,B1,adv,5510,34.79
транспортный,B1,adj,5510,34.79
сокращение,B1,n,5505,34.75
маска,B1,n,5474,34.56
жалоба,B1,n,5471,34.54
применяться,B1,v,5452,34.42
двойной,B1,adj,5438,34.33
математика,B1,n,5421,34.22
потребоваться,B1,v,5411,34.16
студия,B1,n,5407,34.14
мотор,B1,n,5399,34.08
экологический,B1,adj,5373,33.92
повесть,B1,n,5364,33.86
невеста,B1,n,5351,33.78
вклад,B1,n,5345,33.74
подходящий,B1,adj,5321,33.59
катастрофа,B1,n,5313,33.54
справедливый,B1,adj,5302,33.47
чудесный,B1,adj,5279,33.33
спускаться,B1,v,5238,33.07
во-первых,B1,adv,5235,33.05
медведь,B1,n,5232,33.03
прогноз,B1,n,5220,32.95
опрос,B1,n,5217,32.94
устанавливать,B1,v,5207,32.87
свидание,B1,n,5203,32.85
платформа,B1,n,5200,32.83
обида,B1,n,5172,32.65
сочетание,B1,n,5169,32.63
заканчиваться,B1,v,5168,32.63
профессионал,B1,n,5150,32.51
захотеться,B1,v,5125,32.35
консультант,B1,n,5114,32.29
независимость,B1,n,5098,32.18
законный,B1,adj,5085,32.10
коллекция,B1,n,5085,32.10
обыкновенный,B1,adj,5068,31.99
экземпляр,B1,n,5010,31.63
цифровой,B1,adj,5009,31.62
тесный,B1,adj,4960,31.31
преступник,B1,n,4933,31.14
избирательный,B1,adj,4927,31.10
волновать,B1,v,4924,31.09
рана,B1,n,4923,31.08
серебряный,B1,adj,4922,31.07
заказчик,B1,n,4911,31.00
мышь,B1,n,4911,31.00
веревка,B1,n,4882,30.82
аккуратно,B1,adv,4876,30.78
закрытый,B1,adj,4865,30.71
беспокоиться,B1,v,4860,30.68
математический,B1,adj,4858,30.67
нарушать,B1,v,4855,30.65
доставать,B1,v,4839,30.55
автоматически,B1,adv,4832,30.51
рок,B1,n,4808,30.35
прогулка,B1,n,4801,30.31
прощать,B1,v,4801,30.31
ужасно,B1,adv,4800,30.30
королевский,B1,adj,4796,30.28
тренировка,B1,n,4779,30.17
молодость,B1,n,4765,30.08
мягко,B1,adv,4763,30.07
алкоголь,B1,n,4749,29.98
просмотр,B1,n,4733,29.88
скандал,B1,n,4722,29.81
энергетический,B1,adj,4697,29.65
рыжий,B1,adj,4696,29.65
учеба,B1,n,4692,29.62
четверть,B1,n,4689,29.60
оформление,B1,n,4684,29.57
соглашаться,B1,v,4681,29.55
талантливый,B1,adj,4667,29.46
монитор,B1,n,4663,29.44
регулярно,B1,adv,4662,29.43
с тех пор,B1,mwe,4655,29.39
матч,B1,n,4653,29.38
длиться,B1,v,4645,29.32
флаг,B1,n,4642,29.31
приключение,B1,n,4630,29.23
сервис,B1,n,4629,29.22
успевать,B1,v,4618,29.15
мудрый,B1,adj,4613,29.12
бледный,B1,adj,4609,29.10
вор,B1,n,4609,29.10
дорожка,B1,n,4607,29.08
неприятность,B1,n,4599,29.03
пляж,B1,n,4583,28.93
благодарный,B1,adj,4580,28.91
переставать,B1,v,4577,28.90
игровой,B1,adj,4574,28.88
спасать,B1,v,4568,28.84
гордиться,B1,v,4565,28.82
ритм,B1,n,4551,28.73
подвиг,B1,n,4548,28.71
голосование,B1,n,4540,28.66
христианин,B1,n,4531,28.60
стыдно,B1,adv,4529,28.59
радостный,B1,adj,4523,28.55
трасса,B1,n,4517,28.52
наибольший,B1,adj,4501,28.42
сравнивать,B1,v,4482,28.30
бытовой,B1,adj,4477,28.26
тренер,B1,n,4459,28.15
подчеркивать,B1,v,4448,28.08
употребление,B1,n,4441,28.04
мэр,B1,n,4432,27.98
учащийся,B1,n,4386,27.69
посадка,B1,n,4384,27.68
ровный,B1,adj,4381,27.66
добавлять,B1,v,4379,27.65
шоу,B1,n,4378,27.64
храниться,B1,v,4372,27.60
повесить,B1,v,4363,27.54
специальность,B1,n,4363,27.54
трогать,B1,v,4358,27.51
стих,B1,n,4345,27.43
террорист,B1,n,4319,27.27
соблюдать,B1,v,4310,27.21
младенец,B1,n,4300,27.15
употреблять,B1,v,4300,27.15
дыра,B1,n,4282,27.03
уверенно,B1,adv,4280,27.02
торговать,B1,v,4278,27.01
занятый,B1,adj,4277,27.00
рукав,B1,n,4260,26.89
симпатичный,B1,adj,4243,26.79
предупреждать,B1,v,4241,26.77
палка,B1,n,4237,26.75
бровь,B1,n,4232,26.72
бесполезный,B1,adj,4217,26.62
мастерская,B1,n,4197,26.50
приезд,B1,n,4194,26.48
подводный,B1,adj,4192,26.46
треть,B1,n,4189,26.45
возражать,B1,v,4177,26.37
беспокоить,B1,v,4170,26.33
духи,B1,n,4153,26.22
консультация,B1,n,4131,26.08
приветствовать,B1,v,4127,26.05
платок,B1,n,4111,25.95
программист,B1,n,4104,25.91
охранник,B1,n,4100,25.88
чистота,B1,n,4064,25.66
бумажный,B1,adj,4062,25.64
происшествие,B1,n,4059,25.63
шоссе,B1,n,4058,25.62
яма,B1,n,4054,25.59
ножка,B1,n,4053,25.59
соблюдение,B1,n,4045,25.54
рождаться,B1,v,4037,25.49
громадный,B1,adj,4025,25.41
заметка,B1,n,4015,25.35
финал,B1,n,4013,25.33
избиратель,B1,n,4010,25.32
среднее,B1,n,4006,25.29
голосовать,B1,v,3996,25.23
жених,B1,n,3990,25.19
автоматический,B1,adj,3989,25.18
вирус,B1,n,3988,25.18
охранять,B1,v,3983,25.15
популярность,B1,n,3952,24.95
диплом,B1,n,3947,24.92
юрист,B1,n,3941,24.88
борода,B1,n,3940,24.87
подробный,B1,adj,3938,24.86
терпение,B1,n,3937,24.85
усталость,B1,n,3917,24.73
выделять,B1,v,3906,24.66
дежурный,B1,adj,3904,24.65
частица,B1,n,3901,24.63
локоть,B1,n,3893,24.58
испортить,B1,v,3877,24.48
тур,B1,n,3862,24.38
близость,B1,n,3858,24.36
туча,B1,n,3858,24.36
гитара,B1,n,3853,24.32
позитивный,B1,adj,3850,24.31
недвижимость,B1,n,3841,24.25
доставка,B1,n,3827,24.16
отъезд,B1,n,3810,24.05
театральный,B1,adj,3801,24.00
развлечение,B1,n,3791,23.93
папка,B1,n,3790,23.93
доставлять,B1,v,3776,23.84
сорт,B1,N,3776,23.84
звездный,B1,adj,3773,23.82
грузовик,B1,n,3756,23.71
обсуждаться,B1,v,3734,23.57
дорожный,B1,adj,3732,23.56
классный,B1,adj,3730,23.55
ведро,B1,n,3723,23.50
молния,B1,n,3720,23.48
стеклянный,B1,adj,3718,23.47
чеченский,B1,adj,3718,23.47
вносить,B1,v,3714,23.45
плащ,B1,n,3711,23.43
христианство,B1,n,3698,23.35
платеж,B1,n,3692,23.31
смелый,B1,adj,3690,23.30
седой,B1,adj,3678,23.22
поэтический,B1,adj,3677,23.21
величайший,B1,adj,3667,23.15
приблизительно,B1,adv,3663,23.13
торжественный,B1,adj,3660,23.11
блеск,B1,n,3655,23.07
развод,B1,n,3640,22.98
безопасный,B1,adj,3639,22.97
ледяной,B1,adj,3626,22.89
предупреждение,B1,n,3624,22.88
рецепт,B1,n,3613,22.81
смесь,B1,n,3612,22.80
кредитный,B1,adj,3610,22.79
мелодия,B1,n,3609,22.78
студенческий,B1,adj,3604,22.75
внешность,B1,n,3582,22.61
повышать,B1,v,3548,22.40
стоянка,B1,n,3546,22.39
дневной,B1,adj,3543,22.37
временный,B1,adj,3539,22.34
где-нибудь,B1,adv,3538,22.34
анализировать,B1,v,3533,22.30
давить,B1,v,3526,22.26
незаконный,B1,adj,3509,22.15
снежный,B1,adj,3507,22.14
обман,B1,n,3502,22.11
провод,B1,n,3498,22.08
баня,B1,n,3489,22.03
тупой,B1,adj,3480,21.97
переносить,B1,v,3469,21.90
с самого начала,B1,mwe,3466,21.88
бокал,B1,n,3456,21.82
драться,B1,v,3450,21.78
прохожий,B1,n,3445,21.75
отвернуться,B1,v,3429,21.65
свинья,B1,n,3428,21.64
желающий,B1,n,3421,21.60
скорее,B1,adv,3419,21.58
латинский,B1,adj,3416,21.57
поменять,B1,v,3404,21.49
хрен,B1,n,3401,21.47
климат,B1,n,3399,21.46
пленка,B1,n,3396,21.44
старость,B1,n,3394,21.43
змея,B1,n,3388,21.39
кожаный,B1,adj,3388,21.39
молодежный,B1,adj,3376,21.31
травма,B1,n,3375,21.31
скучный,B1,adj,3374,21.30
тетка,B1,n,3368,21.26
дура,B1,n,3365,21.24
бедро,B1,n,3361,21.22
слон,B1,n,3354,21.17
вертолет,B1,n,3345,21.12
печатать,B1,v,3330,21.02
диагноз,B1,n,3315,20.93
вытекать,B1,v,3314,20.92
иллюстрация,B1,n,3312,20.91
частый,B1,adj,3309,20.89
исключать,B1,v,3302,20.85
натуральный,B1,adj,3301,20.84
влюбленный,B1,adj,3290,20.77
листок,B1,n,3288,20.76
ноготь,B1,n,3284,20.73
диета,B1,n,3275,20.68
ремень,B1,n,3258,20.57
наилучший,B1,adj,3252,20.53
ус,B1,n,3250,20.52
заяц,B1,n,3245,20.49
ругаться,B1,v,3245,20.49
в среднем,B1,mwe,3241,20.46
прятать,B1,v,3229,20.39
лужа,B1,n,3227,20.37
светить,B1,v,3222,20.34
объявлять,B1,v,3214,20.29
тесно,B1,adv,3212,20.28
комплект,B1,n,3205,20.23
умственный,B1,adj,3205,20.23
светиться,B1,v,3198,20.19
пожелание,B1,n,3185,20.11
пенсионер,B1,n,3180,20.08
стук,B1,n,3179,20.07
рожать,B1,v,3177,20.06
слабо,B1,adv,3175,20.04
программирование,B1,n,3172,20.03
сеанс,B1,n,3171,20.02
столичный,B1,adj,3168,20.00
скамейка,B1,n,3166,19.99
старт,B1,n,3162,19.96
кататься,B1,v,3152,19.90
затылок,B1,n,3134,19.79
водный,B1,adj,3133,19.78
закат,B1,n,3122,19.71
написание,B1,n,3112,19.65
торжество,B1,n,3104,19.60
переписка,B1,n,3102,19.58
возвращать,B1,v,3100,19.57
опера,B1,n,3096,19.55
самоубийство,B1,n,3094,19.53
