Lemma,CEFR,POS,Frq abs,Frq ipm
ходить,A1,v,38302,241.81
окно,A1,n,38242,241.43
отвечать,A1,v,37415,236.21
плохой,A1,adj,37141,234.48
сердце,A1,n,36804,232.35
просить,A1,v,36329,229.35
выходить,A1,v,35529,224.30
получать,A1,v,35304,222.88
четыре,A1,num,35084,221.49
долго,A1,adv,34993,220.92
красный,A1,adj,34749,219.38
легко,A1,adv,34526,217.97
рубль,A1,n,34064,215.05
приходить,A1,v,33942,214.28
фильм,A1,n,33885,213.92
счет,A1,n,33748,213.06
спать,A1,v,33735,212.97
текст,A1,n,33620,212.25
брать,A1,v,33546,211.78
документ,A1,n,33527,211.66
телефон,A1,n,33409,210.92
правый,A1,adj,33221,209.73
пол,A1,N,32901,207.71
купить,A1,v,32833,207.28
родитель,A1,n,32821,207.20
метр,A1,n,32542,205.44
квартира,A1,n,31667,199.92
слушать,A1,v,30980,195.58
номер,A1,n,30892,195.03
класс,A1,n,30669,193.62
брат,A1,n,30573,193.01
спасибо,A1,excl,30058,189.76
близкий,A1,adj,29828,188.31
команда,A1,n,29120,183.84
сша,A1,n prop,29062,183.47
мальчик,A1,n,28846,182.11
рассказывать,A1,v,28589,180.49
сон,A1,n,28580,180.43
уходить,A1,v,28514,180.01
спрашивать,A1,v,28275,178.50
врач,A1,n,28160,177.78
ехать,A1,v,28013,176.85
нравиться,A1,v,27928,176.31
десять,A1,num,27594,174.20
палец,A1,n,27570,174.05
доллар,A1,n,27523,173.76
название,A1,n,27376,172.83
дорогой,A1,adj,27351,172.67
род,A1,n,27295,172.32
девочка,A1,n,27133,171.29
магазин,A1,n,26952,170.15
музыка,A1,n,26403,166.69
самолет,A1,n,26369,166.47
американский,A1,adj,26314,166.12
пить,A1,v,26233,165.61
институт,A1,n,26174,165.24
солнце,A1,n,26069,164.58
интернет,A1,n prop,25831,163.07
март,A1,n prop,25636,161.84
гость,A1,n,25578,161.48
предложение,A1,n,25513,161.07
европа,A1,n prop,25222,159.23
песня,A1,n,25082,158.35
гражданин,A1,n,24733,156.14
апрель,A1,n prop,24488,154.60
собака,A1,n,23955,151.23
компьютер,A1,n,23942,151.15
красивый,A1,adj,23863,150.65
выход,A1,n,23767,150.04
входить,A1,v,23745,149.91
уметь,A1,v,23668,149.42
низкий,A1,adj,23542,148.62
тяжелый,A1,adj,23292,147.05
среда,A1,n prop,23223,146.61
помогать,A1,v,23212,146.54
сложный,A1,adj,23168,146.26
короткий,A1,adj,23032,145.40
бумага,A1,n,22999,145.20
ошибка,A1,n,22895,144.54
сюда,A1,adv,22763,143.71
прошлый,A1,adj,22668,143.11
столько,A1,adv,22640,142.93
длинный,A1,adj,22606,142.71
возраст,A1,n,22554,142.39
трудно,A1,adv,22534,142.26
быстрый,A1,adj,22514,142.13
английский,A1,adj,22247,140.45
папа,A1,n,22178,140.01
учиться,A1,v,22040,139.14
спина,A1,n,21936,138.48
страница,A1,n,21703,137.01
двадцать,A1,num,21579,136.23
откуда,A1,adv,21519,135.85
карта,A1,n,21416,135.20
звук,A1,n,21404,135.13
господин,A1,n,21377,134.96
цвет,A1,n,21323,134.61
сесть,A1,v,21287,134.39
круг,A1,n,21234,134.05
доктор,A1,n,20958,132.31
означать,A1,v,20883,131.84
дочь,A1,n,20811,131.38
пожалуйста,A1,excl,20737,130.92
республика,A1,n,20737,130.92
ставить,A1,v,20696,130.66
волос,A1,n,20594,130.01
германия,A1,n prop,20552,129.75
называться,A1,v,20531,129.61
студент,A1,n,20417,128.90
ребята,A1,n,20352,128.48
любимый,A1,adj,20237,127.76
май,A1,n prop,20168,127.32
бежать,A1,v,20142,127.16
адрес,A1,n,20114,126.98
учитель,A1,n,20032,126.46
положить,A1,v,19948,125.93
боль,A1,n,19854,125.34
плохо,A1,adv,19738,124.61
банк,A1,n,19625,123.90
дома,A1,adv,19465,122.89
знак,A1,n,19301,121.85
завтра,A1,adv,19122,120.72
январь,A1,n prop,18841,118.95
вчера,A1,n,18810,118.75
правильный,A1,adj,18673,117.89
километр,A1,n,18671,117.87
шесть,A1,num,18650,117.74
рот,A1,n,18563,117.19
больной,A1,adj,18561,117.18
может,A1,adv,18524,116.94
победа,A1,n,18464,116.57
женский,A1,adj,18345,115.81
август,A1,n prop,18321,115.66
